x,p_x,y,p_y,p_yx,pmi_yx
"Ghiberti, Bonaccorso",0.0006752194463200541,Polycletus,0.0006752194463200541,1.0,10.532355925288849
"Galassi, Galasso (Galasso Ferrarese)",0.0006752194463200541,Simone,0.0006752194463200541,1.0,10.532355925288849
"Galassi, Galasso (Galasso Ferrarese)",0.0006752194463200541,Cristofano,0.0006752194463200541,1.0,10.532355925288849
Simone,0.0006752194463200541,Cristofano,0.0006752194463200541,1.0,10.532355925288849
"Avanzi, Jacopo (Jacopo Davanzo)",0.0006752194463200541,"Zevio, Aldigieri (Altichiero) da",0.0006752194463200541,1.0,10.532355925288849
"Avanzi, Jacopo (Jacopo Davanzo)",0.0006752194463200541,"Verona, Sebeto da",0.0006752194463200541,1.0,10.532355925288849
"Zevio, Aldigieri (Altichiero) da",0.0006752194463200541,"Verona, Sebeto da",0.0006752194463200541,1.0,10.532355925288849
"Maini (Marini), Michele",0.0006752194463200541,"Marchissi, Antonio di Giorgio",0.0006752194463200541,1.0,10.532355925288849
"Ceri, Andrea de'",0.0006752194463200541,"Nunziata, Toto del",0.0006752194463200541,1.0,10.532355925288849
"Lancia, Baldassarre",0.0006752194463200541,"Menzochi, Francesco (Francesco da Forlï¿½)",0.0006752194463200541,1.0,10.532355925288849
"Busto, Agostino (Il Bambaja)",0.0006752194463200541,"Solari, Cristofano (Cristofano Gobbo)",0.0006752194463200541,1.0,10.532355925288849
"Moretto, Alessandro (Alessandro Bonvicini)",0.0006752194463200541,"Gambara, Lattanzio",0.0006752194463200541,1.0,10.532355925288849
"Bembi, Bonifazio",0.0006752194463200541,"Melone, Altobello da",0.0006752194463200541,1.0,10.532355925288849
"Mini, Antonio",0.0006752194463200541,"Cinque, Battista del",0.0006752194463200541,1.0,10.532355925288849
"Nola, Giovanni da",0.0013504388926401081,"Santa Croce, Girolamo",0.0006752194463200541,0.5,9.532355925288849
"Bernazzano, Cesare",0.0006752194463200541,"Dossi, Battista",0.0013504388926401081,1.0,9.532355925288849
"Cotignola, Francesco da (Francesco de' Zaganelli",0.0013504388926401081,"Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.0006752194463200541,0.5,9.532355925288849
"Canneri, Anselmo",0.0013504388926401081,"Caroto, Giovanni",0.0006752194463200541,0.5,9.532355925288849
"Cattaneo, Danese (Danese da Carrara)",0.0013504388926401081,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0006752194463200541,0.5,9.532355925288849
"Viviano, Michelagnolo di",0.0013504388926401081,"Buda, Girolamo del",0.0006752194463200541,0.5,9.532355925288849
"Viviano, Michelagnolo di",0.0013504388926401081,"Prato, Francesco di Girolamo dal",0.0006752194463200541,0.5,9.532355925288849
"Casentino, Jacopo di",0.002025658338960162,"Daddi, Bernardo",0.0006752194463200541,0.33333333333333337,8.947393424567691
"Romano, Paolo",0.002025658338960162,"Mino, Maestro (Mino del Regno, or del Reame)",0.0013504388926401081,0.6666666666666667,8.947393424567691
"Filarete, Antonio",0.002025658338960162,"Ciuffagni, Bernardo",0.0006752194463200541,0.33333333333333337,8.947393424567691
"Ghirlandajo, David",0.002025658338960162,"Ghirlandajo, Benedetto",0.0006752194463200541,0.33333333333333337,8.947393424567691
"Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.002025658338960162,"Pistoia, Il (Leonardo)",0.0006752194463200541,0.33333333333333337,8.947393424567691
"Cock, Hieronymus",0.002025658338960162,"Liefrinck, Hans",0.0006752194463200541,0.33333333333333337,8.947393424567691
"Viniziano, Agostino (Agostino de' Musi)",0.002025658338960162,"Dente, Marco (Marco da Ravenna)",0.0013504388926401081,0.6666666666666667,8.947393424567691
Margaritone,0.0027008777852802163,"Tedesco, Jacopo (Lapo)",0.0006752194463200541,0.25,8.532355925288849
"Tafi, Andrea",0.0027008777852802163,"Como, Guido da",0.0006752194463200541,0.25,8.532355925288849
"Laurati, Pietro (Pietro Lorenzetti)",0.0013504388926401081,"Bologhini, Bartolommeo",0.0013504388926401081,0.5,8.532355925288849
"Maiano, Giuliano da",0.0027008777852802163,"Donzello, Polito del",0.0006752194463200541,0.25,8.532355925288849
"Baldovinetti, Alesso",0.0027008777852802163,Graffione,0.0006752194463200541,0.25,8.532355925288849
"Pollaiuolo, Antonio",0.0027008777852802163,"Pollaiuolo, Piero",0.0013504388926401081,0.5,8.532355925288849
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.0013504388926401081,Baviera,0.0013504388926401081,0.5,8.532355925288849
Baviera,0.0013504388926401081,"Caraglio, Giovanni Jacopo",0.0013504388926401081,0.5,8.532355925288849
"Dossi, Dosso",0.0027008777852802163,"Bernazzano, Cesare",0.0006752194463200541,0.25,8.532355925288849
"Dossi, Dosso",0.0027008777852802163,"Dossi, Battista",0.0013504388926401081,0.5,8.532355925288849
"Fiesole, Andrea da (Andrea Ferrucci)",0.0027008777852802163,"Maini (Marini), Michele",0.0006752194463200541,0.25,8.532355925288849
"Fiesole, Andrea da (Andrea Ferrucci)",0.0027008777852802163,"Marchissi, Antonio di Giorgio",0.0006752194463200541,0.25,8.532355925288849
"Canneri, Anselmo",0.0013504388926401081,"Caliari, Paolo (Paolo Veronese)",0.0027008777852802163,1.0,8.532355925288849
