x,p_x,y,p_y,p_yx,pmi_yx
"Ghiberti, Bonaccorso",0.001321003963011889,Polycletus,0.001321003963011889,1.0,9.56414948998573
"Galassi, Galasso (Galasso Ferrarese)",0.001321003963011889,Simone,0.001321003963011889,1.0,9.56414948998573
"Galassi, Galasso (Galasso Ferrarese)",0.001321003963011889,Cristofano,0.001321003963011889,1.0,9.56414948998573
Simone,0.001321003963011889,Cristofano,0.001321003963011889,1.0,9.56414948998573
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.001321003963011889,Baviera,0.001321003963011889,1.0,9.56414948998573
"Ammanati, Bartolommeo",0.001321003963011889,"Bandinelli, Baccio (Baccio de' Brandini)",0.001321003963011889,1.0,9.56414948998573
"Avanzi, Jacopo (Jacopo Davanzo)",0.001321003963011889,"Zevio, Aldigieri (Altichiero) da",0.001321003963011889,1.0,9.56414948998573
"Avanzi, Jacopo (Jacopo Davanzo)",0.001321003963011889,"Verona, Sebeto da",0.001321003963011889,1.0,9.56414948998573
"Zevio, Aldigieri (Altichiero) da",0.001321003963011889,"Verona, Sebeto da",0.001321003963011889,1.0,9.56414948998573
"Maini (Marini), Michele",0.001321003963011889,"Marchissi, Antonio di Giorgio",0.001321003963011889,1.0,9.56414948998573
"Conti, Domenico",0.001321003963011889,"Salviati, Francesco (Francesco de' Rossi)",0.001321003963011889,1.0,9.56414948998573
"Mainardi, Bastiano (Bastiano da San Gimignano)",0.002642007926023778,"Ghirlandajo, David",0.001321003963011889,0.5,8.56414948998573
"Nola, Giovanni da",0.002642007926023778,"Santa Croce, Girolamo",0.001321003963011889,0.5,8.56414948998573
"Bernazzano, Cesare",0.001321003963011889,"Dossi, Battista",0.002642007926023778,1.0,8.56414948998573
"Cotignola, Francesco da (Francesco de' Zaganelli",0.002642007926023778,"Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.001321003963011889,0.5,8.56414948998573
"Casentino, Jacopo di",0.003963011889035667,"Daddi, Bernardo",0.001321003963011889,0.33333333333333337,7.979186989264576
"Romano, Paolo",0.003963011889035667,"Mino, Maestro (Mino del Regno, or del Reame)",0.002642007926023778,0.6666666666666667,7.979186989264576
"Filarete, Antonio",0.003963011889035667,"Ciuffagni, Bernardo",0.001321003963011889,0.33333333333333337,7.979186989264576
"Dossi, Dosso",0.003963011889035667,"Bernazzano, Cesare",0.001321003963011889,0.33333333333333337,7.979186989264576
"Dossi, Dosso",0.003963011889035667,"Dossi, Battista",0.002642007926023778,0.6666666666666667,7.979186989264576
"Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.003963011889035667,"Pistoia, Il (Leonardo)",0.001321003963011889,0.33333333333333337,7.979186989264576
Margaritone,0.005284015852047556,"Tedesco, Jacopo (Lapo)",0.001321003963011889,0.25,7.5641494899857324
"Tafi, Andrea",0.005284015852047556,"Como, Guido da",0.001321003963011889,0.25,7.5641494899857324
"Laurati, Pietro (Pietro Lorenzetti)",0.002642007926023778,"Bologhini, Bartolommeo",0.002642007926023778,0.5,7.5641494899857324
"Maiano, Giuliano da",0.005284015852047556,"Donzello, Polito del",0.001321003963011889,0.25,7.5641494899857324
"Baldovinetti, Alesso",0.005284015852047556,Graffione,0.001321003963011889,0.25,7.5641494899857324
"Pollaiuolo, Antonio",0.005284015852047556,"Pollaiuolo, Piero",0.002642007926023778,0.5,7.5641494899857324
"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.002642007926023778,"Feltro, Morto da",0.002642007926023778,0.5,7.5641494899857324
"Signorelli, Luca (Luca da Cortona)",0.005284015852047556,"Caporali, Benedetto (Giovan Battista)",0.001321003963011889,0.25,7.5641494899857324
"Francia, Francesco",0.005284015852047556,Fivizzano,0.001321003963011889,0.25,7.5641494899857324
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.005284015852047556,"Amalteo, Pomponio",0.001321003963011889,0.25,7.5641494899857324
"Fiesole, Andrea da (Andrea Ferrucci)",0.005284015852047556,"Maini (Marini), Michele",0.001321003963011889,0.25,7.5641494899857324
"Fiesole, Andrea da (Andrea Ferrucci)",0.005284015852047556,"Marchissi, Antonio di Giorgio",0.001321003963011889,0.25,7.5641494899857324
Agnolo (of Siena),0.0066050198150594455,Agostino (of Siena),0.003963011889035667,0.6,7.24222139509837
"Gaddi, Giovanni",0.001321003963011889,"Gaddi, Agnolo",0.0066050198150594455,1.0,7.24222139509837
"Vivarino, Luigi",0.001321003963011889,"Bellini, Gentile",0.0066050198150594455,1.0,7.24222139509837
"Bellini, Jacopo",0.002642007926023778,"Bellini, Gentile",0.0066050198150594455,1.0,7.24222139509837
"Squarcione, Jacopo",0.001321003963011889,"Mantegna, Andrea",0.0066050198150594455,1.0,7.24222139509837
"Pisano, Andrea",0.007926023778071334,"Pisano, Nino",0.001321003963011889,0.16666666666666669,6.979186989264576
Simone (brother of Donatello),0.002642007926023778,"Filarete, Antonio",0.003963011889035667,0.5,6.979186989264576
"Forlï¿½, Melozzo da",0.001321003963011889,"Gozzoli, Benozzo",0.007926023778071334,1.0,6.979186989264576
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.007926023778071334,"Francesco, Mariotto di",0.001321003963011889,0.16666666666666669,6.979186989264576
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.007926023778071334,Tribolo (Niccolï¿½),0.001321003963011889,0.16666666666666669,6.979186989264576
"Fabriano, Gentile da",0.003963011889035667,"Pisanello, Vittore or Antonio",0.002642007926023778,0.33333333333333337,6.979186989264576
