x,p_x,y,p_y,p_yx,pmi_yx
Margaritone,0.03225806451612903,"Tedesco, Jacopo (Lapo)",0.008064516129032258,0.25,4.954196310386876
"Tafi, Andrea",0.03225806451612903,"Como, Guido da",0.008064516129032258,0.25,4.954196310386876
"Laurati, Pietro (Pietro Lorenzetti)",0.016129032258064516,"Bologhini, Bartolommeo",0.016129032258064516,0.5,4.954196310386876
Agnolo (of Siena),0.04032258064516129,Agostino (of Siena),0.024193548387096774,0.6,4.632268215499513
"Gaddi, Agnolo",0.04032258064516129,"Gaddi, Giovanni",0.008064516129032258,0.2,4.632268215499513
"Pisano, Andrea",0.04032258064516129,"Pisano, Nino",0.008064516129032258,0.2,4.632268215499513
"Memmi, Simone (Simone Martini, or Sanese)",0.056451612903225805,"Memmi, Lippo",0.024193548387096774,0.42857142857142855,4.146841388329271
"Pisano, Andrea",0.04032258064516129,"Pisano, Tommaso",0.016129032258064516,0.2,3.632268215499513
"Tafi, Andrea",0.03225806451612903,"Gaddi, Gaddo",0.024193548387096774,0.25,3.3692338096657193
"Tafi, Andrea",0.03225806451612903,"Cimabue, Giovanni",0.08870967741935484,0.5,2.494764691749578
"Buffalmacco, Buonamico",0.0967741935483871,"Giovanni, Bruno di",0.016129032258064516,0.08333333333333333,2.3692338096657193
Agostino (of Siena),0.024193548387096774,"Pisano, Giovanni",0.06451612903225806,0.3333333333333333,2.3692338096657193
"Pisano, Giovanni",0.06451612903225806,"Pisano, Niccola",0.04838709677419355,0.25,2.3692338096657193
Giotto,0.2661290322580645,"Capanna, Puccio",0.008064516129032258,0.030303030303030304,1.9098021910284217
"Cimabue, Giovanni",0.08870967741935484,"Gaddi, Gaddo",0.024193548387096774,0.0909090909090909,1.9098021910284217
"Gaddi, Agnolo",0.04032258064516129,"Gaddi, Taddeo",0.056451612903225805,0.2,1.824913293441909
Agnolo (of Siena),0.04032258064516129,"Pisano, Giovanni",0.06451612903225806,0.2,1.632268215499513
"Buffalmacco, Buonamico",0.0967741935483871,"Orcagna, Andrea di Cione",0.03225806451612903,0.08333333333333333,1.3692338096657193
Giotto,0.2661290322580645,"Tafi, Andrea",0.03225806451612903,0.06060606060606061,0.9098021910284219
Giotto,0.2661290322580645,"Laurati, Pietro (Pietro Lorenzetti)",0.016129032258064516,0.030303030303030304,0.9098021910284219
Giotto,0.2661290322580645,"Cimabue, Giovanni",0.08870967741935484,0.15151515151515152,0.7722986672784868
Giotto,0.2661290322580645,"Pisano, Andrea",0.04032258064516129,0.06060606060606061,0.5878740961410596
Giotto,0.2661290322580645,Stefano,0.04032258064516129,0.06060606060606061,0.5878740961410596
Giotto,0.2661290322580645,"Cavallini, Pietro",0.024193548387096774,0.030303030303030304,0.32483969030726567
Giotto,0.2661290322580645,"Gaddi, Taddeo",0.056451612903225805,0.06060606060606061,0.10244726897081775
